altitude,temperature,pressure,density,speed_of_sound,viscosity
[m],[Kelvin],[pascal],[kg/m3],[m/s],[Pa.s]
311,286.128,97644.3,1.18884,339.098,1.80E-05
312,286.122,97632.6,1.18873,339.094,1.80E-05
313,286.115,97621,1.18861,339.091,1.80E-05
314,286.109,97609.3,1.1885,339.087,1.80E-05
315,286.102,97597.6,1.18838,339.083,1.80E-05
316,286.096,97586,1.18827,339.079,1.80E-05
317,286.089,97574.3,1.18815,339.075,1.80E-05
318,286.083,97562.7,1.18804,339.071,1.80E-05
319,286.076,97551,1.18792,339.067,1.80E-05
320,286.07,97539.4,1.18781,339.064,1.80E-05
321,286.063,97527.7,1.18769,339.06,1.80E-05
322,286.057,97516.1,1.18758,339.056,1.80E-05
323,286.05,97504.4,1.18746,339.052,1.80E-05
324,286.044,97492.8,1.18735,339.048,1.80E-05
325,286.037,97481.2,1.18723,339.044,1.80E-05
326,286.031,97469.5,1.18712,339.041,1.80E-05
327,286.024,97457.9,1.187,339.037,1.80E-05
328,286.018,97446.2,1.18689,339.033,1.80E-05
329,286.011,97434.6,1.18677,339.029,1.80E-05
330,286.005,97423,1.18666,339.025,1.80E-05
331,285.998,97411.3,1.18654,339.021,0.000018013
332,285.992,97399.7,1.18643,339.017,1.80E-05
333,285.986,97388,1.18631,339.014,1.80E-05
334,285.979,97376.4,1.1862,339.01,0.000018012
335,285.972,97364.8,1.18608,339.006,1.80E-05
336,285.966,97353.2,1.18597,339.002,1.80E-05
337,285.959,97341.5,1.18586,338.998,0.000018011
338,285.953,97329.9,1.18574,338.994,1.80E-05
339,285.946,97318.3,1.18563,338.99,1.80E-05
340,285.94,97306.6,1.18551,338.987,0.00001801
341,285.933,97295,1.1854,338.983,1.80E-05
342,285.927,97283.4,1.18528,338.979,1.80E-05
343,285.921,97271.8,1.18517,338.975,0.000018009
344,285.914,97260.1,1.18505,338.971,1.80E-05
345,285.907,97248.5,1.18494,338.967,1.80E-05
346,285.901,97236.9,1.18482,338.963,1.80E-05
347,285.894,97225.3,1.18471,338.96,1.80E-05
348,285.888,97213.7,1.18459,338.956,1.80E-05
349,285.881,97202.1,1.18448,338.952,1.80E-05
350,285.875,97190.4,1.18436,338.948,1.80E-05
351,285.868,97178.8,1.18425,338.944,1.80E-05
352,285.862,97167.2,1.18414,338.94,1.80E-05
353,285.855,97155.6,1.18402,338.936,1.80E-05
354,285.849,97144,1.18391,338.933,1.80E-05
355,285.842,97132.4,1.18379,338.929,1.80E-05
356,285.836,97120.8,1.18368,338.925,1.80E-05
357,285.829,97109.2,1.18356,338.921,1.80E-05
358,285.823,97097.6,1.18345,338.917,1.80E-05
359,285.816,97086,1.18333,338.913,1.80E-05
360,285.81,97074.3,1.18322,338.91,1.80E-05
361,285.803,97062.7,1.1831,338.906,1.80E-05
362,285.797,97051.1,1.18299,338.902,1.80E-05
363,285.79,97039.5,1.18288,338.898,1.80E-05
364,285.784,97027.9,1.18276,338.894,1.80E-05
365,285.777,97016.3,1.18265,338.89,1.80E-05
366,285.771,97004.7,1.18253,338.886,1.80E-05
367,285.764,96993.2,1.18242,338.883,1.80E-05
368,285.758,96981.6,1.1823,338.879,1.80E-05
369,285.751,96970,1.18219,338.875,1.80E-05
370,285.745,96958.4,1.18207,338.871,1.80E-05
371,285.738,96946.8,1.18196,338.867,1.80E-05
372,285.732,96935.2,1.18185,338.863,1.80E-05
373,285.725,96923.6,1.18173,338.859,1.80E-05
374,285.719,96912,1.18162,338.856,1.80E-05
375,285.712,96900.4,1.1815,338.852,1.80E-05
376,285.706,96888.8,1.18139,338.848,1.80E-05
377,285.7,96877.3,1.18127,338.844,0.000017998
378,285.693,96865.7,1.18116,338.84,1.80E-05
379,285.686,96854.1,1.18104,338.836,1.80E-05
380,285.68,96842.5,1.18093,338.832,0.000017997
381,285.673,96830.9,1.18082,338.829,1.80E-05
382,285.667,96819.3,1.1807,338.825,1.80E-05
383,285.66,96807.8,1.18059,338.821,0.000017996
384,285.654,96796.2,1.18047,338.817,1.80E-05
385,285.647,96784.6,1.18036,338.813,1.80E-05
386,285.641,96773,1.18024,338.809,0.000017995
387,285.635,96761.5,1.18013,338.805,1.80E-05
388,285.628,96749.9,1.18002,338.802,1.80E-05
389,285.621,96738.3,1.1799,338.798,1.80E-05
390,285.615,96726.8,1.17979,338.794,1.80E-05
391,285.608,96715.2,1.17967,338.79,1.80E-05
392,285.602,96703.6,1.17956,338.786,1.80E-05
